,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 04:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 04:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 05:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 05:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 06:00:00,0,0,0,0.01137813,0,0.0,0,0.0,0.009659015,0,0
2017-02-26 06:30:00,0,0,0,0.5275990660000001,0,0.08314100680000003,0,0.6418836275,0.07056912300000001,0,0
2017-02-26 07:00:00,0,0,0,1.5635550759999999,0,0.7339775048,0,1.7447217149999998,0.190333278,0,0
2017-02-26 07:30:00,0,0,0,2.543781646,0,0.9474910907999999,0,2.7973652025,0.305167113,0,0
2017-02-26 08:00:00,0,0,0,3.3503879538,0,1.7465908184000003,0,3.3503879538,0.39863327400000004,0,0
2017-02-26 08:30:00,0,0,0,2.7662461856,0,2.0755681407999997,0,2.7662461856,0.46693948799999996,0,0
2017-02-26 09:00:00,0,0,0,2.847104606399999,0,2.6849721152,0,2.847104606399999,0.5858186719999999,0,0
2017-02-26 09:30:00,0,0,0,2.19123496,0,2.1912349600000005,0,2.19123496,0.64129512,0,0
2017-02-26 10:00:00,0,0,0,2.7431741956666675,0,2.743174195666667,0,2.7431741956666675,0.691477413,0,0
2017-02-26 10:30:00,0,0,0,2.6533492646666668,0,2.653349264666667,0,2.6533492646666668,0.7949522059999999,0,0
2017-02-26 11:00:00,0,0,0,3.2810577416666673,0,3.281057741666667,0,3.2810577416666673,0.850826775,0,0
2017-02-26 11:30:00,0,0,0,3.2879708023333336,0,3.2879708023333336,0,3.2879708023333336,0.825087593,0,0
2017-02-26 12:00:00,0,0,0,3.5403812829999994,0,3.540381283,0,3.5403812829999994,0.829856151,0,0
2017-02-26 12:30:00,0,0,0,3.210732912666667,0,3.2107329126666673,0,3.210732912666667,0.7828012619999999,0,0
2017-02-26 13:00:00,0,0,0,2.9103289413333338,0,2.910328941333334,0,2.9103289413333338,0.7380131759999999,0,0
2017-02-26 13:30:00,0,0,0,2.5395159739999995,0,2.539515974,0,2.5395159739999995,0.738452078,0,0
2017-02-26 14:00:00,0,0,0,2.582953853666666,0,2.5829538536666665,0,2.582953853666666,0.659138439,0,0
2017-02-26 14:30:00,0,0,0,2.6046064959000006,0,2.3309465011999997,0,2.6046064959000006,0.5738405069999999,0,0
2017-02-26 15:00:00,0,0,0,3.0866195519999993,0,1.9858911296,0,3.316187062399999,0.45930225599999996,0,0
2017-02-26 15:30:00,0,0,0,2.6798972119999993,0,1.8500337976,0,3.1749270044000015,0.41514198599999996,0,0
2017-02-26 16:00:00,0,0,0,2.6259369059999997,0,1.7404102388,0,3.7039717274999995,0.4040696429999999,0,0
2017-02-26 16:30:00,0,0,0,2.6294648140000003,0,1.3906338172000003,0,3.0190493225,0.333169017,0,0
2017-02-26 17:00:00,0,0,0,1.9517163879999997,0,0.8587154824,0,2.048430795,0.23142881399999998,0,0
2017-02-26 17:30:00,0,0,0,1.0372331399999999,0,0.37507117200000006,0,0.9926119750000002,0.13075767,0,0
2017-02-26 18:00:00,0,0,0,0.26791154000000006,0,0.004303491999999992,0,0.010617975000000002,0.041412870000000004,0,0
2017-02-26 18:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0038897280000000003,0,0
2017-02-26 19:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 19:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 20:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 20:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 21:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 21:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 22:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 22:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
