,solar_fit_payments
2017-02-26 04:00:00,0.0
2017-02-26 04:30:00,0.0
2017-02-26 05:00:00,0.0
2017-02-26 05:30:00,0.0
2017-02-26 06:00:00,0.0
2017-02-26 06:30:00,0.0
2017-02-26 07:00:00,0.0
2017-02-26 07:30:00,0.0
2017-02-26 08:00:00,0.032718414540000074
2017-02-26 08:30:00,0.26895851647999997
2017-02-26 09:00:00,0.46907236712000017
2017-02-26 09:30:00,0.7674447350999998
2017-02-26 10:00:00,0.7221113182289999
2017-02-26 10:30:00,0.9810130762599898
2017-02-26 11:00:00,0.9237316352499998
2017-02-26 11:30:00,0.8633348460300001
2017-02-26 12:00:00,0.7502914522100004
2017-02-26 12:30:00,0.7091576660199996
2017-02-26 13:00:00,0.6862113149599998
2017-02-26 13:30:00,0.8102311053800002
2017-02-26 14:00:00,0.6131523566900003
2017-02-26 14:30:00,0.4121276049699998
2017-02-26 15:00:00,0.08940836176000007
2017-02-26 15:30:00,0.0630541200599998
2017-02-26 16:00:00,0.0
2017-02-26 16:30:00,0.0
2017-02-26 17:00:00,0.0
2017-02-26 17:30:00,0.0
2017-02-26 18:00:00,0.0
2017-02-26 18:30:00,0.0
2017-02-26 19:00:00,0.0
2017-02-26 19:30:00,0.0
2017-02-26 20:00:00,0.0
2017-02-26 20:30:00,0.0
2017-02-26 21:00:00,0.0
2017-02-26 21:30:00,0.0
2017-02-26 22:00:00,0.0
2017-02-26 22:30:00,0.0
