,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 03:30:00,0,0,0,0.13333333333333286,0,0.43333333333333357,0,0.43333333333333357,0,0,0
2017-02-26 04:00:00,0,0,0,0.0,0,0.0,0,0.03333333333333336,0,0,0
2017-02-26 04:30:00,0,0,0,0.0,0,0.006666666666666673,0,0.003333333333333336,0,0,0
2017-02-26 05:00:00,0,0,0,0.0,0,0.0003333333333331486,0,0.0006666666666662973,0,0,0
2017-02-26 05:30:00,0,0,0,0.0,0,3.3333333333255645e-05,0,6.66666666665113e-05,0,0,0
2017-02-26 06:00:00,0,0,0,0.0,0,2.500000000793534e-06,0,7.500000002380602e-06,0,0,0
2017-02-26 06:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 07:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 07:30:00,0,0,0,0.0,0,0.5,0,0.0,0,0,0
2017-02-26 08:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 08:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 09:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 09:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 10:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 10:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 11:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 11:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 12:00:00,0,0,0,0.5,0,0.0,0,0.0,0,0,0
2017-02-26 12:30:00,0,0,0,0.04999999999999982,0,0.0,0,0.0,0,0,0
2017-02-26 13:00:00,0,0,0,0.005000000000000782,0,0.0,0,0.0,0,0,0
2017-02-26 13:30:00,0,0,0,0.0003333333333337407,0,0.0,0,0.0,0,0,0
2017-02-26 14:00:00,0,0,0,4.999999999988347e-05,0,0.0,0,0.0,0,0,0
2017-02-26 14:30:00,0,0,0,4.999999999810711e-06,0,4.999999999810711e-06,0,0.0,0,0,0
2017-02-26 15:00:00,0,0,0,5.000000005139782e-07,0,0.0,0,0.0,0,0,0
2017-02-26 15:30:00,0,0,0,5.000000058430487e-08,0,0.0,0,0.0,0,0,0
2017-02-26 16:00:00,0,0,0,5.000000413701855e-09,0,0.0,0,0.0,0,0,0
2017-02-26 16:30:00,0,0,0,3.33333360913457e-10,0,0.0,0,0.0,0,0,0
2017-02-26 17:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 17:30:00,0,0,0,0.0,0,0.28950000000000076,0,0.7104999999999992,0,0,0
2017-02-26 18:00:00,0,0,0,0.0,0,0.0,0,0.033333333333333215,0,0,0
2017-02-26 18:30:00,0,0,0,0.0,0,0.0033333333333338544,0,0.006666666666667709,0,0,0
