,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 10:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 10:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 11:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 11:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 12:00:00,0,0,0,2.5542000000000002,0,0.0,0,0.0,0,0,0
2017-02-26 12:30:00,0,0,0,2.7012199999999993,0,0.0,0,0.0,0,0,0
2017-02-26 13:00:00,0,0,0,0.27012199999999886,0,0.0,0,0.0,0,0,0
2017-02-26 13:30:00,0,0,0,0.018008133333333138,0,0.0,0,0.0,0,0,0
2017-02-26 14:00:00,0,0,0,0.0027012200000005038,0,0.0,0,0.0,0,0,0
2017-02-26 14:30:00,0,0,0,0.00027012199999987274,0,0.00027012199999987274,0,0.0,0,0,0
2017-02-26 15:00:00,0,0,0,2.7012200000342546e-05,0,0.0,0,0.0,0,0,0
2017-02-26 15:30:00,0,0,0,2.701219999678983e-06,0,0.0,0,0.0,0,0,0
2017-02-26 16:00:00,0,0,0,2.701220012113481e-07,0,0.0,0,0.0,0,0,0
2017-02-26 16:30:00,0,0,0,1.8008133650937452e-08,0,0.0,0,0.0,0,0,0
2017-02-26 17:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-26 17:30:00,0,0,0,0.0,0,0.28950000000000076,0,1.4616000054024396,0,0,0
2017-02-26 18:00:00,0,0,0,0.0,0,0.0,0,0.05837000018008117,0,0,0
2017-02-26 18:30:00,0,0,0,0.0,0,0.005837000018008354,0,0.011674000036016707,0,0,0
2017-02-26 19:00:00,0,0,0,0.0,0,0.0,0,0.0005837000018005986,0,0,0
2017-02-26 19:30:00,0,0,0,0.0,0,0.0,0,5.837000018023749e-05,0,0,0
2017-02-26 20:00:00,0,0,0,0.0,0,0.0,0,5.837000018142173e-06,0,0,0
2017-02-26 20:30:00,0,0,0,0.0,0,0.0,0,5.837000015181578e-07,0,0,0
2017-02-26 21:00:00,0,0,0,0.0,0,0.0,0,5.837000038866336e-08,0,0,0
2017-02-26 21:30:00,0,0,0,0.0,0,5.837000808620966e-09,0,1.1674001617241931e-08,0,0,0
2017-02-26 22:00:00,0,0,0,0.0,0,0.0,0,4.3777514946441443e-10,0,0,0
2017-02-26 22:30:00,0,0,0,0.0,0,5.83699015047993e-11,0,1.1673980300959858e-10,0,0,0
2017-02-26 23:00:00,0,0,0,0.0,0,0.0,0,5.837108574269223e-12,0,0,0
2017-02-26 23:30:00,0,0,0,0.0,0,0.0,0,5.838292812162157e-13,0,0,0
2017-02-27 00:00:00,0,0,0,0.0,0,0.0,0,5.861977570020827e-14,0,0,0
2017-02-27 00:30:00,0,0,0,0.0,0,0.0,0,5.921189464667502e-15,0,0,0
2017-02-27 01:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 01:30:00,0,0,0,0.0,0,0.0,0,5.921189464667501e-16,0,0,0
2017-02-27 02:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 02:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 03:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 03:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 04:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 04:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 05:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 05:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 06:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 06:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 07:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 07:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 08:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 08:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 09:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 09:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 10:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 10:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 11:00:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
2017-02-27 11:30:00,0,0,0,0.0,0,0.0,0,0.0,0,0,0
