,central_battery_revenue
2017-02-26 03:30:00,-0.24
2017-02-26 04:00:00,-0.008000000000000007
2017-02-26 04:30:00,-0.002400000000000002
2017-02-26 05:00:00,-0.00023999999999986697
2017-02-26 05:30:00,-2.3999999999944066e-05
2017-02-26 06:00:00,-2.4000000007617925e-06
2017-02-26 06:30:00,0.0
2017-02-26 07:00:00,0.043333290000000003
2017-02-26 07:30:00,-0.12
2017-02-26 08:00:00,0.039
2017-02-26 08:30:00,0.0
2017-02-26 09:00:00,0.0
2017-02-26 09:30:00,0.0
2017-02-26 10:00:00,0.0
2017-02-26 10:30:00,0.0
2017-02-26 11:00:00,0.0
2017-02-26 11:30:00,0.0
2017-02-26 12:00:00,-0.12
2017-02-26 12:30:00,-0.011999999999999957
2017-02-26 13:00:00,-0.0012000000000001875
2017-02-26 13:30:00,-8.000000000009777e-05
2017-02-26 14:00:00,-1.1999999999972033e-05
2017-02-26 14:30:00,-2.399999999909141e-06
2017-02-26 15:00:00,-1.2000000012335477e-07
2017-02-26 15:30:00,-1.2000000140233168e-08
2017-02-26 16:00:00,-1.2000000992884452e-09
2017-02-26 16:30:00,-8.000000661922968e-11
2017-02-26 17:00:00,0.043333333328999996
2017-02-26 17:30:00,-0.24
2017-02-26 18:00:00,-0.00799999999999997
2017-02-26 18:30:00,-0.002400000000000375
