,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 03:30:00,0.265,0.051,1.3452142857142857,0,0.556,0,0.147,0,0,0.08,0.121
2017-02-26 04:00:00,0.158,0.016,1.7087857142857144,0,0.6809999999999999,0,0.132,0,0,0.035,0.101
2017-02-26 04:30:00,0.168,0.035,1.4309285714285715,0,0.713,0,0.153,0,0,0.094,0.08900000000000001
2017-02-26 05:00:00,0.168,0.043,2.7877,0,0.684,0,0.13699999999999998,0,0,0.253,0.077
2017-02-26 05:30:00,0.17,0.011,1.9212,0,0.6829999999999999,0,0.159,0,0,0.127,0.081
2017-02-26 06:00:00,0.433,0.043,5.78,0,0.7040000000000001,0,0.125,0,0,0.035,0.08199999999999999
2017-02-26 06:30:00,0.155,0.035,0.841357142857143,0,0.708,0,0.037000000000000005,0,0,0.038,0.07400000000000001
2017-02-26 07:00:00,0.158,0.013,0.8298333333333332,0,0.7070000000000001,0,0.0,0,0,0.041,0.119
2017-02-26 07:30:00,0.165,0.047,1.7042333333333335,0,0.71,0,0.0,0,0,0.035,0.098
2017-02-26 08:00:00,0.165,0.029,0.8393333333333333,0,0.711,0,0.0,0,0,0.187,0.102
2017-02-26 08:30:00,0.17,0.019,0.9619,0,0.71,0,0.0,0,0,0.043,0.073
2017-02-26 09:00:00,0.165,0.048,0.8166666666666665,0,0.708,0,0.0,0,0,0.036000000000000004,0.08800000000000001
2017-02-26 09:30:00,0.16,0.022,1.0,0,0.546,0,0.0,0,0,0.036000000000000004,0.079
2017-02-26 10:00:00,0.158,0.029,0.8209333333333332,0,0.8209333333333332,0,0.0,0,0,0.039,0.081
2017-02-26 10:30:00,0.165,0.05,1.0230833333333333,0,1.01,0,0.0,0,0,0.041,0.109
2017-02-26 11:00:00,0.17,0.064,0.8163333333333332,0,0.8163333333333332,0,0.0,0,0,0.035,0.106
2017-02-26 11:30:00,0.168,0.07200000000000001,0.8346666666666667,0,0.8346666666666668,0,0.0,0,0,0.038,0.116
2017-02-26 12:00:00,0.173,0.066,2.7599,0,0.974,0,0.0,0,0,0.043,0.075
2017-02-26 12:30:00,0.163,0.013,4.205400000000001,0,0.974,0,0.0,0,0,0.035,0.09
2017-02-26 13:00:00,0.43,0.062,4.533499999999999,0,0.989,0,0.0,0,0,0.038,0.07
2017-02-26 13:30:00,0.163,0.02,4.231333333333334,0,1.007,0,0.0,0,0,0.043,0.092
2017-02-26 14:00:00,0.173,0.044,4.2754,0,1.05,0,0.0,0,0,0.036000000000000004,0.085
2017-02-26 14:30:00,0.175,0.038,4.9125000000000005,0,0.978,0,0.0,0,0,0.038,0.125
2017-02-26 15:00:00,0.173,0.026,4.369000000000001,0,0.983,0,0.0,0,0,0.043,0.103
2017-02-26 15:30:00,0.165,0.055,4.2804,0,0.984,0,0.0,0,0,0.036000000000000004,0.108
2017-02-26 16:00:00,0.163,0.014,4.231899999999999,0,0.987,0,0.0,0,0,0.038,0.077
2017-02-26 16:30:00,0.163,0.055,1.8114833333333333,0,1.004,0,0.0,0,0,0.043,0.083
2017-02-26 17:00:00,0.168,0.027000000000000003,1.1983166666666667,0,0.968,0,0.0,0,0,0.036000000000000004,0.08199999999999999
2017-02-26 17:30:00,0.175,0.035,1.655,0,0.953,0,0.014,0,0,0.038,0.078
2017-02-26 18:00:00,0.17,0.047,2.116214285714286,0,0.951,0,0.032,0,0,0.043,0.114
2017-02-26 18:30:00,0.21,0.013,4.201700000000001,0,0.928,0,0.14800000000000002,0,0,0.036000000000000004,0.108
