,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 10:00:00,0.158,0.029,0.8209333333333332,0,0.8209333333333332,0,0.0,0,0,0.039,0.081
2017-02-26 10:30:00,0.165,0.05,1.0230833333333333,0,1.01,0,0.0,0,0,0.041,0.109
2017-02-26 11:00:00,0.17,0.064,0.8163333333333332,0,0.8163333333333332,0,0.0,0,0,0.035,0.106
2017-02-26 11:30:00,0.168,0.07200000000000001,0.8346666666666667,0,0.8346666666666668,0,0.0,0,0,0.038,0.116
2017-02-26 12:00:00,0.173,0.066,2.7599,0,0.974,0,0.0,0,0,0.043,0.075
2017-02-26 12:30:00,0.163,0.013,4.205400000000001,0,0.974,0,0.0,0,0,0.035,0.09
2017-02-26 13:00:00,0.43,0.062,4.533499999999999,0,0.989,0,0.0,0,0,0.038,0.07
2017-02-26 13:30:00,0.163,0.02,4.231333333333334,0,1.007,0,0.0,0,0,0.043,0.092
2017-02-26 14:00:00,0.173,0.044,4.2754,0,1.05,0,0.0,0,0,0.036000000000000004,0.085
2017-02-26 14:30:00,0.175,0.038,4.9125000000000005,0,0.978,0,0.0,0,0,0.038,0.125
2017-02-26 15:00:00,0.173,0.026,4.369000000000001,0,0.983,0,0.0,0,0,0.043,0.103
2017-02-26 15:30:00,0.165,0.055,4.2804,0,0.984,0,0.0,0,0,0.036000000000000004,0.108
2017-02-26 16:00:00,0.163,0.014,4.231899999999999,0,0.987,0,0.0,0,0,0.038,0.077
2017-02-26 16:30:00,0.163,0.055,1.8114833333333333,0,1.004,0,0.0,0,0,0.043,0.083
2017-02-26 17:00:00,0.168,0.027000000000000003,1.1983166666666667,0,0.968,0,0.0,0,0,0.036000000000000004,0.08199999999999999
2017-02-26 17:30:00,0.175,0.035,1.655,0,0.953,0,0.014,0,0,0.038,0.078
2017-02-26 18:00:00,0.17,0.047,2.116214285714286,0,0.951,0,0.032,0,0,0.043,0.114
2017-02-26 18:30:00,0.21,0.013,4.201700000000001,0,0.928,0,0.14800000000000002,0,0,0.036000000000000004,0.108
2017-02-26 19:00:00,0.268,0.058,2.0567,0,0.7829999999999999,0,0.159,0,0,0.038,0.126
