,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 10:00:00,0,0,0,2.0,0,2.9255999999999998,0,0.0,0.0,0,0
2017-02-26 10:30:00,0,0,0,1.95,0,3.3120000000000003,0,0.8745,0.002,0,0
2017-02-26 11:00:00,0,0,0,2.0,0,2.898,0,0.0,0.0,0,0
2017-02-26 11:30:00,0,0,0,1.625,0,3.381,0,0.0,0.002,0,0
2017-02-26 12:00:00,0,0,0,8.166599999999999,0,3.2844,0,0.0,0.0,0,0
2017-02-26 12:30:00,0,0,0,7.682600000000001,0,2.7324,0,0.0,0.0,0,0
2017-02-26 13:00:00,0,0,0,5.743,0,3.7260000000000004,0,0.0,0.0,0,0
2017-02-26 13:30:00,0,0,0,5.318999999999999,0,3.036,0,0.0,0.002,0,0
2017-02-26 14:00:00,0,0,0,5.330599999999999,0,3.0774000000000004,0,0.0,0.0,0,0
2017-02-26 14:30:00,0,0,0,4.057,0,4.057,0,0.0,0.0,0,0
2017-02-26 15:00:00,0,0,0,4.983999999999998,0,3.8640000000000008,0,0.0,0.0,0,0
2017-02-26 15:30:00,0,0,0,5.387600000000001,0,2.7324,0,0.0,0.0,0,0
2017-02-26 16:00:00,0,0,0,5.1196,0,3.4914,0,0.0,0.0,0,0
2017-02-26 16:30:00,0,0,0,4.1690999999999985,0,3.4914,0,0.9275000000000001,0.0,0,0
2017-02-26 17:00:00,0,0,0,1.35,0,3.9054000000000006,0,1.9344999999999999,0.0,0,0
2017-02-26 17:30:00,0,0,0,2.4,0,3.4364999999999997,0,3.4364999999999997,0.0,0,0
2017-02-26 18:00:00,0,0,0,2.275,0,2.7600000000000002,0,3.569999999999998,0.0,0,0
2017-02-26 18:30:00,0,0,0,2.15,0,3.3365,0,3.3365,0.0,0,0
2017-02-26 19:00:00,0,0,0,1.35,0,3.2154000000000003,0,3.346600000000001,0.0,0,0
2017-02-26 19:30:00,0,0,0,1.7000000000000002,0,3.2154000000000003,0,3.295599999999998,0.0,0,0
2017-02-26 20:00:00,0,0,0,1.7000000000000002,0,2.8289999999999997,0,5.243999999999997,0.0,0,0
2017-02-26 20:30:00,0,0,0,1.275,0,3.8364000000000007,0,4.114599999999998,0.0,0,0
2017-02-26 21:00:00,0,0,0,1.9,0,2.484,0,2.8930000000000025,0.0,0,0
2017-02-26 21:30:00,0,0,0,1.125,0,3.2284999999999995,0,3.2284999999999995,0.0,0,0
2017-02-26 22:00:00,0,0,0,1.8000000000000003,0,2.9255999999999998,0,2.9624,0.002,0,0
2017-02-26 22:30:00,0,0,0,1.4749999999999999,0,2.9320000000000004,0,2.9320000000000004,0.0,0,0
2017-02-26 23:00:00,0,0,0,1.425,0,3.2154000000000003,0,4.0596,0.0,0,0
2017-02-26 23:30:00,0,0,0,1.825,0,3.105,0,4.2440000000000015,0.0,0,0
2017-02-27 00:00:00,0,0,0,1.175,0,3.7674000000000007,0,3.7755999999999994,0.0,0,0
2017-02-27 00:30:00,0,0,0,1.9,0,2.8014000000000006,0,3.949599999999999,0.0,0,0
2017-02-27 01:00:00,0,0,0,1.25,0,3.588,0,4.4254999999999995,0.0,0,0
2017-02-27 01:30:00,0,0,0,1.725,0,2.6220000000000003,0,3.3589999999999995,0.0,0,0
2017-02-27 02:00:00,0,0,0,1.4749999999999999,0,2.6530000000000005,0,2.6530000000000005,0.002,0,0
2017-02-27 02:30:00,0,0,0,1.525,0,2.2494000000000005,0,4.2626,0.0,0,0
2017-02-27 03:00:00,0,0,0,1.725,0,2.553,0,3.205000000000001,0.0,0,0
2017-02-27 03:30:00,0,0,0,1.2,0,2.3460000000000005,0,3.4039999999999995,0.0,0,0
2017-02-27 04:00:00,0,0,0,1.875,0,2.6910000000000003,0,3.0830000000000006,0.0,0,0
2017-02-27 04:30:00,0,0,0,1.125,0,2.1390000000000002,0,3.4849999999999985,0.0,0,0
2017-02-27 05:00:00,0,0,0,1.8000000000000003,0,2.5944,0,4.186999999999999,0.0,0,0
2017-02-27 05:30:00,0,0,0,1.35,0,2.3874,0,4.346,0.0,0,0
2017-02-27 06:00:00,0,0,0,1.575,0,5.0920000000000005,0,3.922,0.0,0,0
2017-02-27 06:30:00,0,0,0,1.575,0,6.510500000000003,0,4.0545,0.0,0,0
2017-02-27 07:00:00,0,0,0,4.928999999999999,0,4.929,0,4.929,0.0,0,0
2017-02-27 07:30:00,0,0,0,7.897,0,7.897000000000001,0,7.897,0.0,0,0
2017-02-27 08:00:00,0,0,0,8.736666666666665,0,8.736666666666665,0,8.736666666666666,0.0,0,0
2017-02-27 08:30:00,0,0,0,8.754333333333332,0,8.754333333333333,0,8.754333333333332,1.266,0,0
2017-02-27 09:00:00,0,0,0,6.972333333333333,0,6.972333333333333,0,6.972333333333334,2.5439999999999996,0,0
2017-02-27 09:30:00,0,0,0,11.507749999999998,0,11.507749999999998,0,4.1075,2.5460000000000003,0,0
2017-02-27 10:00:00,0,0,0,8.833333333333332,0,8.833333333333334,0,8.833333333333332,2.55,0,0
2017-02-27 10:30:00,0,0,0,11.571,0,11.571,0,2.544,2.558,0,0
2017-02-27 11:00:00,0,0,0,10.14,0,10.14,0,0.7949999999999999,2.563999999999999,0,0
2017-02-27 11:30:00,0,0,0,11.509749999999999,0,11.509749999999999,0,5.5915,2.532,0,0
