,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 10:00:00,-0.158,-0.029,-7.412000000000001,2.0,-1.202,2.9255999999999998,0.0,0.0,0.0,-0.039,-0.081
2017-02-26 10:30:00,-0.165,-0.05,-7.38,1.95,-1.01,3.3120000000000003,0.0,0.8745,0.002,-0.041,-0.109
2017-02-26 11:00:00,-0.17,-0.064,-9.32,2.0,-0.999,2.898,0.0,0.0,0.0,-0.035,-0.106
2017-02-26 11:30:00,-0.168,-0.07200000000000001,-9.3,1.625,-0.995,3.381,0.0,0.0,0.002,-0.038,-0.116
2017-02-26 12:00:00,-0.173,-0.066,-10.12,13.275,-0.974,3.2844,0.0,0.0,0.0,-0.043,-0.075
2017-02-26 12:30:00,-0.163,-0.013,-9.14,22.500000000000004,-0.974,2.7324,0.0,0.0,0.0,-0.035,-0.09
2017-02-26 13:00:00,-0.43,-0.062,-7.88,23.474999999999998,-0.989,3.7260000000000004,0.0,0.0,0.0,-0.038,-0.07
2017-02-26 13:30:00,-0.163,-0.02,-7.032,22.35,-1.007,3.036,0.0,0.0,0.002,-0.043,-0.092
2017-02-26 14:00:00,-0.173,-0.044,-7.02,22.575000000000003,-1.05,3.0774000000000004,0.0,0.0,0.0,-0.036000000000000004,-0.085
2017-02-26 14:30:00,-0.175,-0.038,-6.76,22.575000000000003,-0.978,6.9,0.0,0.0,0.0,-0.038,-0.125
2017-02-26 15:00:00,-0.173,-0.026,-7.52,22.35,-0.983,3.8640000000000008,0.0,0.0,0.0,-0.043,-0.103
2017-02-26 15:30:00,-0.165,-0.055,-6.772,22.950000000000003,-0.984,2.7324,0.0,0.0,0.0,-0.036000000000000004,-0.108
2017-02-26 16:00:00,-0.163,-0.014,-7.332000000000002,21.899999999999995,-0.987,3.4914,0.0,0.0,0.0,-0.038,-0.077
2017-02-26 16:30:00,-0.163,-0.055,-7.24,6.45,-1.004,3.4914,0.0,0.9275000000000001,0.0,-0.043,-0.083
2017-02-26 17:00:00,-0.168,-0.027000000000000003,-7.66,1.35,-0.968,3.9054000000000006,0.0,1.9344999999999999,0.0,-0.036000000000000004,-0.08199999999999999
2017-02-26 17:30:00,-0.175,-0.035,-7.98,2.4,-0.953,3.7260000000000004,-0.014,5.459,0.0,-0.038,-0.078
2017-02-26 18:00:00,-0.17,-0.047,-7.247999999999998,2.275,-0.951,2.7600000000000002,-0.032,9.7785,0.0,-0.043,-0.114
2017-02-26 18:30:00,-0.21,-0.013,-7.38,2.15,-0.928,3.4914,-0.14800000000000002,23.770500000000002,0.0,-0.036000000000000004,-0.108
2017-02-26 19:00:00,-0.268,-0.058,-6.48,1.35,-0.7829999999999999,3.2154000000000003,-0.159,9.8315,0.0,-0.038,-0.126
2017-02-26 19:30:00,-0.268,-0.024,-7.1,1.7000000000000002,-0.55,3.2154000000000003,-0.14300000000000002,6.3865,0.0,-0.042,-0.084
2017-02-26 20:00:00,-0.54,-0.034,-8.36,1.7000000000000002,-0.5529999999999999,2.8289999999999997,-0.158,6.3335,0.0,-0.036000000000000004,-0.092
2017-02-26 20:30:00,-0.273,-0.047,-7.76,1.275,-0.8959999999999999,3.8364000000000007,-0.13699999999999998,6.9165,0.0,-0.038,-0.075
2017-02-26 21:00:00,-0.273,-0.013,-6.1720000000000015,1.9,-0.535,2.484,-0.159,5.936,0.0,-0.042,-0.083
2017-02-26 21:30:00,-0.275,-0.05,-6.34,1.125,-0.56,7.8384,-0.239,21.703500000000002,0.0,-0.036000000000000004,-0.08199999999999999
2017-02-26 22:00:00,-0.275,-0.03,-6.492000000000001,1.8000000000000003,-0.5670000000000001,2.9255999999999998,-0.18600000000000005,6.572,0.002,-0.036000000000000004,-0.104
2017-02-26 22:30:00,-0.263,-0.023,-6.14,1.4749999999999999,-0.5670000000000001,4.0986,-0.183,6.095,0.0,-0.043,-0.12
2017-02-26 23:00:00,-0.263,-0.053,-7.552,1.425,-0.57,3.2154000000000003,-0.135,7.605499999999999,0.0,-0.035,-0.092
2017-02-26 23:30:00,-0.265,-0.016,-8.052,1.825,-0.563,3.105,-0.153,4.584499999999999,0.0,-0.036000000000000004,-0.08900000000000001
2017-02-27 00:00:00,-0.278,-0.035,-7.58,1.175,-0.54,3.7674000000000007,-0.165,4.4254999999999995,0.0,-0.044,-0.076
