,net_participant_export,central_battery_export,unallocated_local_solar,unallocated_central_battery_load,gross_participant_grid_import,gross_participant_local_solar_import,gross_participant_central_battery_import,net_network_export
2017-02-26 03:30:00,-0.795,0.0,0.0,0.0,0.795,0,0,-0.795
2017-02-26 04:00:00,-0.474,0.0,0.0,0.0,0.474,0,0,-0.474
2017-02-26 04:30:00,-0.504,0.0,0.0,0.0,0.504,0,0,-0.504
2017-02-26 05:00:00,-0.504,0.0,0.0,0.0,0.504,0,0,-0.504
2017-02-26 05:30:00,-0.51,0.0,0.0,0.0,0.51,0,0,-0.51
2017-02-26 06:00:00,-1.288340985,0.0,0.0,0.0,1.288340985,0,0,-1.288340985
2017-02-26 06:30:00,-0.394430877,0.0,0.0,0.0,0.394430877,0,0,-0.394430877
2017-02-26 07:00:00,-0.283666722,0.0,0.0,0.0,0.283666722,0,0,-0.283666722
2017-02-26 07:30:00,-0.18983288700000006,0.0,0.0,0.0,0.18983288700000006,0,0,-0.18983288700000006
2017-02-26 08:00:00,-0.09636672599999999,0.0,0.0,0.0,0.09636672599999999,0,0,-0.09636672599999999
2017-02-26 08:30:00,-0.04306051200000005,0.0,0.0,0.0,0.04306051200000005,0,0,-0.04306051200000005
2017-02-26 09:00:00,0.09181867199999996,-0.09181867199999996,0.09181867199999996,0.02720553244444443,0.0,0,0,0.0
2017-02-26 09:30:00,0.16129511999999996,-0.16129511999999996,0.16129511999999996,0.04779114666666666,0.0,0,0,0.0
2017-02-26 10:00:00,0.217477413,15.058265407999993,0.217477413,0.0,0.0,0,0,15.275742820999993
2017-02-26 10:30:00,0.30095220599999994,-0.30095220599999994,0.30095220599999994,0.08917102399999999,0.0,0,0,0.0
2017-02-26 11:00:00,0.340826775,-0.340826775,0.340826775,0.10098571111111113,0.0,0,0,0.0
2017-02-26 11:30:00,0.322087593,-0.322087593,0.322087593,0.0954333608888889,0.0,0,0,0.0
2017-02-26 12:00:00,0.31085615099999997,-0.31085615099999997,0.31085615099999997,0.09210552622222223,0.0,0,0,0.0
2017-02-26 12:30:00,0.2938012619999999,-0.2938012619999999,0.2938012619999999,0.08705222577777774,0.0,0,0,0.0
2017-02-26 13:00:00,-0.551986824,0.0,0.0,0.0,0.551986824,0,0,-0.551986824
2017-02-26 13:30:00,0.250452078,-0.250452078,0.250452078,0.07420802311111113,0.0,0,0,0.0
2017-02-26 14:00:00,0.14013843899999998,-0.14013843899999998,0.14013843899999998,0.04152250044444443,0.0,0,0,0.0
2017-02-26 14:30:00,0.04884050699999995,-0.04884050699999995,0.04884050699999995,0.014471261333333318,0.0,0,0,0.0
2017-02-26 15:00:00,-0.05969774400000011,-1266.9224638949995,0.0,1266.9224638949995,0.05969774400000011,0,0,-1266.9821616389995
2017-02-26 15:30:00,-0.07985801400000006,0.0,0.0,0.0,0.07985801400000006,0,0,-0.07985801400000006
2017-02-26 16:00:00,-0.08493035700000007,0.0,0.0,0.0,0.08493035700000007,0,0,-0.08493035700000007
2017-02-26 16:30:00,-0.155830983,0.0,0.0,0.0,0.155830983,0,0,-0.155830983
2017-02-26 17:00:00,-0.2725711860000001,0.0,0.0,0.0,0.2725711860000001,0,0,-0.2725711860000001
2017-02-26 17:30:00,-0.3942423299999999,0.0,0.0,0.0,0.3942423299999999,0,0,-0.3942423299999999
2017-02-26 18:00:00,-0.4685871300000001,0.0,0.0,0.0,0.4685871300000001,0,0,-0.4685871300000001
2017-02-26 18:30:00,-0.626110272,0.0,0.0,0.0,0.626110272,0,0,-0.626110272
2017-02-26 19:00:00,-0.804,0.0,0.0,0.0,0.804,0,0,-0.804
2017-02-26 19:30:00,-0.804,0.0,0.0,0.0,0.804,0,0,-0.804
2017-02-26 20:00:00,-1.62,0.0,0.0,0.0,1.62,0,0,-1.62
2017-02-26 20:30:00,-0.8190000000000001,0.0,0.0,0.0,0.8190000000000001,0,0,-0.8190000000000001
2017-02-26 21:00:00,-0.8190000000000001,0.0,0.0,0.0,0.8190000000000001,0,0,-0.8190000000000001
2017-02-26 21:30:00,-0.8250000000000001,0.0,0.0,0.0,0.8250000000000001,0,0,-0.8250000000000001
2017-02-26 22:00:00,-0.8250000000000001,0.0,0.0,0.0,0.8250000000000001,0,0,-0.8250000000000001
2017-02-26 22:30:00,-0.789,0.0,0.0,0.0,0.789,0,0,-0.789
2017-02-26 23:00:00,-0.789,0.0,0.0,0.0,0.789,0,0,-0.789
2017-02-26 23:30:00,-0.795,0.0,0.0,0.0,0.795,0,0,-0.795
2017-02-27 00:00:00,-0.8340000000000001,0.0,0.0,0.0,0.8340000000000001,0,0,-0.8340000000000001
2017-02-27 00:30:00,-0.81,0.0,0.0,0.0,0.81,0,0,-0.81
2017-02-27 01:00:00,-0.8190000000000001,0.0,0.0,0.0,0.8190000000000001,0,0,-0.8190000000000001
2017-02-27 01:30:00,-0.78,0.0,0.0,0.0,0.78,0,0,-0.78
2017-02-27 02:00:00,-0.765,0.0,0.0,0.0,0.765,0,0,-0.765
2017-02-27 02:30:00,-1.581,0.0,0.0,0.0,1.581,0,0,-1.581
2017-02-27 03:00:00,-0.795,0.0,0.0,0.0,0.795,0,0,-0.795
2017-02-27 03:30:00,-0.789,0.0,0.0,0.0,0.789,0,0,-0.789
2017-02-27 04:00:00,-0.504,0.0,0.0,0.0,0.504,0,0,-0.504
2017-02-27 04:30:00,-0.48,0.0,0.0,0.0,0.48,0,0,-0.48
2017-02-27 05:00:00,-0.45899999999999996,0.0,0.0,0.0,0.45899999999999996,0,0,-0.45899999999999996
2017-02-27 05:30:00,-0.474,0.0,0.0,0.0,0.474,0,0,-0.474
2017-02-27 06:00:00,-0.49233877500000006,0.0,0.0,0.0,0.49233877500000006,0,0,-0.49233877500000006
2017-02-27 06:30:00,-0.47008816200000003,0.0,0.0,0.0,0.47008816200000003,0,0,-0.47008816200000003
2017-02-27 07:00:00,-4.876807233,0.0,0.0,0.0,4.876807233,0,0,-4.876807233
2017-02-27 07:30:00,-11.647852674000001,0.0,0.0,0.0,11.647852674000001,0,0,-11.647852674000001
2017-02-27 08:00:00,-21.269135753999997,0.0,0.0,0.0,21.269135753999997,0,0,-21.269135753999997
2017-02-27 08:30:00,-19.132589772,0.0,0.0,0.0,19.132589772,0,0,-19.132589772
2017-02-27 09:00:00,-19.276850715000002,0.0,0.0,0.0,19.276850715000002,0,0,-19.276850715000002
2017-02-27 09:30:00,-22.305404733000003,0.0,0.0,0.0,22.305404733000003,0,0,-22.305404733000003
2017-02-27 10:00:00,-30.909263705999997,0.0,0.0,0.0,30.909263705999997,0,0,-30.909263705999997
2017-02-27 10:30:00,-34.082035728,0.0,0.0,0.0,34.082035728,0,0,-34.082035728
2017-02-27 11:00:00,-14.620077042,0.0,0.0,0.0,14.620077042,0,0,-14.620077042
2017-02-27 11:30:00,-35.248302036,0.0,0.0,0.0,35.248302036,0,0,-35.248302036
2017-02-27 12:00:00,-30.115358597999993,0.0,0.0,0.0,30.115358597999993,0,0,-30.115358597999993
2017-02-27 12:30:00,-20.701705809,0.0,0.0,0.0,20.701705809,0,0,-20.701705809
2017-02-27 13:00:00,-20.848502136,0.0,0.0,0.0,20.848502136,0,0,-20.848502136
2017-02-27 13:30:00,-19.10142525,0.0,0.0,0.0,19.10142525,0,0,-19.10142525
2017-02-27 14:00:00,-17.071928595,0.0,0.0,0.0,17.071928595,0,0,-17.071928595
2017-02-27 14:30:00,-17.245255725,0.0,0.0,0.0,17.245255725,0,0,-17.245255725
2017-02-27 15:00:00,-15.090022722,0.0,0.0,0.0,15.090022722,0,0,-15.090022722
2017-02-27 15:30:00,-14.510296641,0.0,0.0,0.0,14.510296641,0,0,-14.510296641
2017-02-27 16:00:00,-0.471368394,0.0,0.0,0.0,0.471368394,0,0,-0.471368394
2017-02-27 16:30:00,-0.13288225200000003,0.0,0.0,0.0,0.13288225200000003,0,0,-0.13288225200000003
