,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 03:30:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 04:00:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 04:30:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 05:00:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 05:30:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 06:00:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 06:30:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 07:00:00,0,0,0.1666665,0,0,0,0,0,0,0,0
2017-02-26 07:30:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 08:00:00,0,0,0.15,0,0,0,0,0,0,0,0
2017-02-26 08:30:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 09:00:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 09:30:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 10:00:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 10:30:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 11:00:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 11:30:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 12:00:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 12:30:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 13:00:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 13:30:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 14:00:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 14:30:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 15:00:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 15:30:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 16:00:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 16:30:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 17:00:00,0,0,0.16666666665,0,0,0,0,0,0,0,0
2017-02-26 17:30:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 18:00:00,0,0,0.0,0,0,0,0,0,0,0,0
2017-02-26 18:30:00,0,0,0.0,0,0,0,0,0,0,0,0
