timestamp,profile_1,profile_2,profile_3,profile_4,profile_5,profile_6,profile_7,profile_8,profile_9,profile_10,profile_11
26/02/2017 3:30,0.265,0.051,5.58,0.096,0.556,0.23,0.147,0.145,0,0.08,0.121
26/02/2017 4:00,0.158,0.016,7.392,0.095,0.681,0.205,0.132,0.255,0,0.035,0.101
26/02/2017 4:30,0.168,0.035,6.96,0.061,0.713,0.31,0.153,0.159,0,0.094,0.089
26/02/2017 5:00,0.168,0.043,6.292,0.091,0.684,0.218,0.137,0.537,0,0.253,0.077
26/02/2017 5:30,0.17,0.011,7.18,0.065,0.683,0.273,0.159,0.304,0,0.127,0.081
26/02/2017 6:00,0.433,0.043,5.78,0.081,0.704,0.2,0.125,1.351,0.001,0.035,0.082
26/02/2017 6:30,0.155,0.035,6.62,0.084,0.708,0.265,0.037,0.005,0,0.038,0.074
26/02/2017 7:00,0.158,0.013,6.052,0.086,0.707,0.205,0,0,0,0.041,0.119
26/02/2017 7:30,0.165,0.047,5.66,0.101,0.71,0.558,0,0,0,0.035,0.098
26/02/2017 8:00,0.165,0.029,7.652,0.08,0.711,0.22,0,0,0,0.187,0.102
26/02/2017 8:30,0.17,0.019,7.06,0.105,0.71,0.228,0,0,0,0.043,0.073
