scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean
0,C_bldg2_000,bau,12.0,C,0.0,0.0,0.0,722.5794001742662,0.0,722.5794001742662,0.0,0.0,0.0,0.0,21.020477998911687,1520.3485183958867,0.0,1520.3485183958867,0.0,0.0,0.0,-43299.602345282474,0.0,0.0,0.0,0.010515555555555554,22968.824201666666,0.0,2295.00870154225,10191.301320487082,100.0,100.0,0.0,0.0,0.0,10191.301320487082,0.0,22968.8136861111
1,C_bldg2_001,bau,12.0,C,0.0,0.0,0.0,722.5794001742662,0.0,722.5794001742662,0.0,0.0,0.0,0.0,21.020477998911687,1520.3485183958867,0.0,1520.3485183958867,0.0,0.0,0.0,-76030.35258605778,0.0,0.0,0.0,0.010515555555555554,22968.824201666666,0.0,2295.00870154225,10191.301320487082,100.0,100.0,0.0,0.0,0.0,10191.301320487082,0.0,22968.8136861111
3,C_bldg2_003,bau,12.0,C,0.0,0.0,0.0,722.5794001742662,0.0,722.5794001742662,0.0,0.0,0.0,0.0,21.020477998911687,1520.3485183958867,0.0,1520.3485183958867,0.0,0.0,0.0,-118285.91249668367,0.0,0.0,0.0,0.010515555555555554,22968.824201666666,0.0,2295.00870154225,10191.301320487082,100.0,100.0,0.0,0.0,0.0,10191.301320487082,0.0,22968.8136861111
10,C_bldg2_010,cp_only,12.0,C,0.0,0.0,2947.478921176634,722.5793300705626,0.0,722.5793300705626,0.0,0.0,0.0,2.3283064365386963e-12,21.020477998911687,70.1767111309449,0.0,3017.655632307579,0.0,0.0,0.0,-49661.181122789385,0.0,0.0,0.0,11116.414606107119,21175.307575603038,56.20630169690295,1680.5341934342948,8741.128671977694,13.892464174468703,13.892464174468316,7.8084403270360365,7.80844032703601,0.0,11688.607593154327,0.0,22968.8136861111
11,C_bldg2_011,cp_only,12.0,C,0.0,0.0,1692.6185726024141,722.5793300705626,0.0,722.5793300705626,0.0,0.0,0.0,0.0,21.020477998911687,70.1767111309449,0.0,1762.795283733359,0.0,0.0,0.0,-77839.07637040812,0.0,0.0,0.0,11116.414606107119,21175.307575603038,56.20630169690295,1680.5341934342948,8741.128671977694,13.892464174468703,13.892464174468316,7.8084403270360365,7.80844032703601,0.0,10433.747244580109,0.0,22968.8136861111
13,C_bldg2_013,cp_only,12.0,C,0.0,0.0,1679.0278286494456,722.5793300705626,0.0,722.5793300705626,0.0,0.0,0.0,0.0,21.020477998911687,70.1767111309449,0.0,1749.2045397803906,0.0,0.0,0.0,-120942.1330284072,0.0,0.0,0.0,11116.414606107119,21175.307575603038,56.20630169690295,1680.5341934342948,8741.128671977694,13.892464174468703,13.892464174468316,7.8084403270360365,7.80844032703601,0.0,10420.15650062714,0.0,22968.8136861111
910,C_bldg2_910,btm_i_c,12.0,C,0.0,0.0,2947.478921176634,583.2455769523327,0.0,777.237640538011,0.0,0.0,0.0,0.0,21.020477998911687,961.4585871575243,0.0,1581.0327453060183,0.0,0.0,0.0,-46344.13638365715,0.0,0.0,0.0,7823.653640375091,17882.54660987101,56.20630169690316,1680.5341934342948,7960.405510585515,39.39812790402365,39.39812790402364,22.14423063266732,22.144230632667288,0.0,10907.88443176215,0.0,22968.8136861111
911,C_bldg2_911,btm_i_c,12.0,C,0.0,0.0,1692.6185726024141,583.2455769523327,0.0,694.6474151142519,0.0,0.0,0.0,-2.3283064365386963e-12,21.020477998911687,961.4585871575243,0.0,1317.2551018169079,0.0,0.0,0.0,-72014.633017583,0.0,0.0,0.0,7823.653640375091,17882.54660987101,56.20630169690316,1680.5341934342948,7960.405510585515,39.39812790402365,39.39812790402364,22.14423063266732,22.144230632667288,0.0,9653.024083187931,0.0,22968.8136861111
913,C_bldg2_913,btm_i_c,12.0,C,0.0,0.0,1679.0278286494456,583.2455769523327,0.0,693.7529230633813,0.0,0.0,0.0,1.1641532182693482e-12,21.020477998911687,961.4585871575243,0.0,1314.3982624743855,0.0,0.0,0.0,-111880.62570481107,0.0,0.0,0.0,7823.653640375091,17882.54660987101,56.20630169690316,1680.5341934342948,7960.405510585515,39.39812790402365,39.39812790402364,22.14423063266732,22.144230632667288,0.0,9639.43333923496,0.0,22968.8136861111
95,C_bldg2_095,btm_p_c,12.0,C,778.44,2626.1677597575363,2947.478921176634,606.0137150521766,73.33174964935547,679.345464701532,0.0,0.0,0.0,3.4924596548080443e-12,21.020477998911687,1051.9978560594325,297.89781468806063,1349.8956707474929,0.0,0.0,0.0,-40371.15521681881,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.206301696903225,1680.5341934342948,8324.162436685552,46.07993350073401,46.07993350073411,25.89982644515494,25.8998264451549,-5174.207870453843,9502.041247165876,0.0,22968.8136861111
