scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean,pv_filename,load_folder_y,arrangement_y,pv_cap_id,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate,pv_name,kwp,kwp_unit,npv_unit,bau_npv,npv_u_cf_bau,average_hh_bill_saving,average_hh_total_saving,bau_scenario,annual_generation,emissions_avoided_kg,carbon_offset_$,annual_carbon_offset_$_unit,total_carbon_offset_$_unit,npv_u_cf_bau_pa,total_npv_cf_bau_pa,site_tag,system_tag
0,C_bldg2_000,bau,12.0,C,0.0,0.0,0.0,722.5794001742662,0.0,722.5794001742662,0.0,0.0,0.0,0.0,21.020477998911687,1520.348518395887,0.0,1520.348518395887,0.0,0.0,0.0,-43299.60234528248,0.0,0.0,0.0,0.010515555555555554,22968.824201666666,0.0,2295.00870154225,10191.301320487082,100.0,100.0,0.0,0.0,0.0,10191.301320487082,0.0,22968.813686111098,zero,C,bau,,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA225,,5,0.06,,0.0,0.0,-3608.3001954402066,-3608.3001954402066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a12_cp21,a12_cp21_pv000
1,C_bldg2_001,bau,12.0,C,0.0,0.0,0.0,722.5794001742662,0.0,722.5794001742662,0.0,0.0,0.0,0.0,21.020477998911687,1520.348518395887,0.0,1520.348518395887,0.0,0.0,0.0,-76030.35258605778,0.0,0.0,0.0,0.010515555555555554,22968.824201666666,0.0,2295.00870154225,10191.301320487082,100.0,100.0,0.0,0.0,0.0,10191.301320487082,0.0,22968.813686111098,zero,C,bau,,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA225,,10,0.06,,0.0,0.0,-6335.862715504815,-6335.862715504815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a12_cp21,a12_cp21_pv000
3,C_bldg2_003,bau,12.0,C,0.0,0.0,0.0,722.5794001742662,0.0,722.5794001742662,0.0,0.0,0.0,0.0,21.020477998911687,1520.348518395887,0.0,1520.348518395887,0.0,0.0,0.0,-118285.91249668367,0.0,0.0,0.0,0.010515555555555554,22968.824201666666,0.0,2295.00870154225,10191.301320487082,100.0,100.0,0.0,0.0,0.0,10191.301320487082,0.0,22968.813686111098,zero,C,bau,,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA225,,20,0.06,,0.0,0.0,-9857.159374723638,-9857.159374723638,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a12_cp21,a12_cp21_pv000
10,C_bldg2_010,cp_only,12.0,C,0.0,0.0,2947.478921176634,722.5793300705626,0.0,722.5793300705626,0.0,0.0,0.0,2.3283064365386963e-12,21.020477998911687,70.1767111309449,0.0,3017.655632307579,0.0,0.0,0.0,-49661.181122789385,0.0,0.0,0.0,11116.414606107119,21175.30757560304,56.206301696902955,1680.5341934342948,8741.128671977694,13.892464174468707,13.892464174468314,7.808440327036036,7.80844032703601,0.0,11688.60759315433,0.0,22968.813686111098,C_max_pv.csv,C,cp_only,C_max_pv,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA225,,5,0.06,C_max_pv,10.5,0.875,-4138.431760232449,-3608.3001954402066,-530.1315647922424,7.01037035923946e-05,7.01037035923946e-05,0.0,12909.920716615188,10005.18855537677,795.7126458091145,66.30938715075955,331.54693575379775,-106.02631295844849,-1272.3157555013818,a12_cp21,a12_cp21_pv010
11,C_bldg2_011,cp_only,12.0,C,0.0,0.0,1692.618572602414,722.5793300705626,0.0,722.5793300705626,0.0,0.0,0.0,0.0,21.020477998911687,70.1767111309449,0.0,1762.7952837333592,0.0,0.0,0.0,-77839.07637040812,0.0,0.0,0.0,11116.414606107119,21175.30757560304,56.206301696902955,1680.5341934342948,8741.128671977694,13.892464174468707,13.892464174468314,7.808440327036036,7.80844032703601,0.0,10433.747244580107,0.0,22968.813686111098,C_max_pv.csv,C,cp_only,C_max_pv,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA225,,10,0.06,C_max_pv,10.5,0.875,-6486.58969753401,-6335.862715504815,-150.72698202919491,7.01037035923946e-05,7.01037035923946e-05,1.0,12909.920716615188,10005.18855537677,795.7126458091145,66.30938715075955,663.0938715075955,-15.072698202919492,-180.8723784350339,a12_cp21,a12_cp21_pv010
13,C_bldg2_013,cp_only,12.0,C,0.0,0.0,1679.0278286494454,722.5793300705626,0.0,722.5793300705626,0.0,0.0,0.0,0.0,21.020477998911687,70.1767111309449,0.0,1749.2045397803906,0.0,0.0,0.0,-120942.1330284072,0.0,0.0,0.0,11116.414606107119,21175.30757560304,56.206301696902955,1680.5341934342948,8741.128671977694,13.892464174468707,13.892464174468314,7.808440327036036,7.80844032703601,0.0,10420.156500627141,0.0,22968.813686111098,C_max_pv.csv,C,cp_only,C_max_pv,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA225,,20,0.06,C_max_pv,10.5,0.875,-10078.5110857006,-9857.159374723638,-221.35171097696184,7.01037035923946e-05,7.01037035923946e-05,3.0,12909.920716615188,10005.18855537677,795.7126458091145,66.30938715075955,1326.187743015191,-11.067585548848092,-132.8110265861771,a12_cp21,a12_cp21_pv010
910,C_bldg2_910,btm_i_c,12.0,C,0.0,0.0,2947.478921176634,583.2455769523327,0.0,777.237640538011,0.0,0.0,0.0,0.0,21.020477998911687,961.4585871575244,0.0,1581.0327453060183,0.0,0.0,0.0,-46344.13638365715,0.0,0.0,0.0,7823.6536403750915,17882.54660987101,56.206301696903154,1680.5341934342948,7960.405510585515,39.398127904023646,39.398127904023646,22.144230632667323,22.144230632667288,0.0,10907.88443176215,0.0,22968.813686111098,C_max_pv.csv,C,btm_i_c,C_max_pv,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA225,,5,0.06,C_max_pv,10.5,0.875,-3862.0113653047624,-3608.3001954402066,-253.7111698645558,139.33382322193347,-54.65824036374477,0.0,12909.920716615194,10005.188555376773,795.7126458091149,66.30938715075958,331.54693575379787,-50.742233972911166,-608.906807674934,a12_cp21,a12_cp21_pv010
911,C_bldg2_911,btm_i_c,12.0,C,0.0,0.0,1692.618572602414,583.2455769523327,0.0,694.6474151142519,0.0,0.0,0.0,-2.3283064365386963e-12,21.020477998911687,961.4585871575244,0.0,1317.2551018169079,0.0,0.0,0.0,-72014.633017583,0.0,0.0,0.0,7823.6536403750915,17882.54660987101,56.206301696903154,1680.5341934342948,7960.405510585515,39.398127904023646,39.398127904023646,22.144230632667323,22.144230632667288,0.0,9653.024083187933,0.0,22968.813686111098,C_max_pv.csv,C,btm_i_c,C_max_pv,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA225,,10,0.06,C_max_pv,10.5,0.875,-6001.219418131916,-6335.862715504815,334.6432973728988,139.33382322193347,27.931985060014313,1.0,12909.920716615194,10005.188555376773,795.7126458091149,66.30938715075958,663.0938715075957,33.46432973728988,401.57195684747853,a12_cp21,a12_cp21_pv010
913,C_bldg2_913,btm_i_c,12.0,C,0.0,0.0,1679.0278286494454,583.2455769523327,0.0,693.7529230633812,0.0,0.0,0.0,1.1641532182693482e-12,21.020477998911687,961.4585871575244,0.0,1314.3982624743855,0.0,0.0,0.0,-111880.62570481107,0.0,0.0,0.0,7823.6536403750915,17882.54660987101,56.206301696903154,1680.5341934342948,7960.405510585515,39.398127904023646,39.398127904023646,22.144230632667323,22.144230632667288,0.0,9639.43333923496,0.0,22968.813686111098,C_max_pv.csv,C,btm_i_c,C_max_pv,EASO_TOU_15pc_FIT8,EASO_TOU_15pc_FIT8,TIDNULL,EA225,,20,0.06,C_max_pv,10.5,0.875,-9323.385475400923,-9857.159374723638,533.7738993227158,139.33382322193347,28.82647711088498,3.0,12909.920716615194,10005.188555376773,795.7126458091149,66.30938715075958,1326.1877430151915,26.68869496613579,320.26433959362953,a12_cp21,a12_cp21_pv010
95,C_bldg2_095,btm_p_c,12.0,C,778.44,2626.1677597575367,2947.478921176634,606.0137150521766,73.33174964935547,679.345464701532,0.0,0.0,0.0,3.4924596548080443e-12,21.020477998911687,1051.9978560594325,297.89781468806063,1349.8956707474927,0.0,0.0,0.0,-40371.155216818814,0.0,0.0,0.0,6961.037835401422,17019.93080489734,56.20630169690322,1680.5341934342948,8324.162436685552,46.07993350073401,46.07993350073411,25.899826445154943,25.8998264451549,-5174.207870453843,9502.041247165876,0.0,22968.813686111098,C_max_pv.csv,C,btm_p_c,C_max_pv,SIT_15_ppa1,SIT_15_ppa1,TIDNULL,EA225,ppa_1,5,0.06,C_max_pv,10.5,0.875,-3364.262934734901,-3608.3001954402066,244.03726070530547,43.2339354727341,43.233935472734174,0.0,12909.920716615194,10005.188555376773,795.7126458091149,66.30938715075958,331.54693575379787,48.80745214106109,585.689425692733,a12_cp21,a12_cp21_pv010
