scenario,cust_bill_T01_mean,cust_bill_T01_std,cust_bill_T02_mean,cust_bill_T02_std,cust_bill_T03_mean,cust_bill_T03_std,cust_bill_T04_mean,cust_bill_T04_std,cust_bill_T05_mean,cust_bill_T05_std,cust_bill_T06_mean,cust_bill_T06_std,cust_bill_T07_mean,cust_bill_T07_std,cust_bill_T08_mean,cust_bill_T08_std,cust_bill_T09_mean,cust_bill_T09_std,cust_bill_T10_mean,cust_bill_T10_std,cust_bill_T11_mean,cust_bill_T11_std,cust_bill_T12_A_mean,cust_bill_T12_A_std,cust_bill_T13_A_mean,cust_bill_T13_A_std,cust_bill_T14_A_mean,cust_bill_T14_A_std,cust_bill_T15_A_mean,cust_bill_T15_A_std,cust_solar_bill_T01_mean,cust_solar_bill_T01_std,cust_solar_bill_T02_mean,cust_solar_bill_T02_std,cust_solar_bill_T03_mean,cust_solar_bill_T03_std,cust_solar_bill_T04_mean,cust_solar_bill_T04_std,cust_solar_bill_T05_mean,cust_solar_bill_T05_std,cust_solar_bill_T06_mean,cust_solar_bill_T06_std,cust_solar_bill_T07_mean,cust_solar_bill_T07_std,cust_solar_bill_T08_mean,cust_solar_bill_T08_std,cust_solar_bill_T09_mean,cust_solar_bill_T09_std,cust_solar_bill_T10_mean,cust_solar_bill_T10_std,cust_solar_bill_T11_mean,cust_solar_bill_T11_std,cust_solar_bill_T12_A_mean,cust_solar_bill_T12_A_std,cust_solar_bill_T13_A_mean,cust_solar_bill_T13_A_std,cust_solar_bill_T14_A_mean,cust_solar_bill_T14_A_std,cust_solar_bill_T15_A_mean,cust_solar_bill_T15_A_std,cust_total$_T01_mean,cust_total$_T01_std,cust_total$_T02_mean,cust_total$_T02_std,cust_total$_T03_mean,cust_total$_T03_std,cust_total$_T04_mean,cust_total$_T04_std,cust_total$_T05_mean,cust_total$_T05_std,cust_total$_T06_mean,cust_total$_T06_std,cust_total$_T07_mean,cust_total$_T07_std,cust_total$_T08_mean,cust_total$_T08_std,cust_total$_T09_mean,cust_total$_T09_std,cust_total$_T10_mean,cust_total$_T10_std,cust_total$_T11_mean,cust_total$_T11_std,cust_total$_T12_A_mean,cust_total$_T12_A_std,cust_total$_T13_A_mean,cust_total$_T13_A_std,cust_total$_T14_A_mean,cust_total$_T14_A_std,cust_total$_T15_A_mean,cust_total$_T15_A_std
0,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,
1,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,
2,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,
3,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,
4,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,
5,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,
6,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,
7,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,
8,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,
9,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1629.784706420292,,1105.0379373318633,,1823.103373599823,,1042.003297719166,,3903.759963136,,1934.4831619442723,,1357.3692655284942,,1943.6319423849534,,1301.3259034134244,,1134.5185421446802,,1461.7203523324142,,1370.034529533072,,1370.034529533072,,1370.034529533072,,1370.034529533072,
