scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean
0,T_bldg1_000,bau,15.0,T,0.0,0.0,0.0,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,1312.5143791683183,0.0,1312.5143791683183,0.0,0.0,0.0,-108041.40522390981,0.0,0.0,0.0,19.270277500000002,77455.55108972223,0.0,9143.142855578732,25429.390943255985,100.0,100.0,0.0,0.0,0.0,25429.390943255985,0.0,77436.28081222216
1,T_bldg1_001,bau,15.0,T,0.0,0.0,0.0,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,1312.5143791683183,0.0,1312.5143791683183,0.0,0.0,0.0,-189711.35271781488,0.0,0.0,0.0,19.270277500000002,77455.55108972223,0.0,9143.142855578732,25429.390943255985,100.0,100.0,0.0,0.0,0.0,25429.390943255985,0.0,77436.28081222216
2,T_bldg1_002,bau,15.0,T,0.0,0.0,0.0,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,1312.5143791683183,0.0,1312.5143791683183,0.0,0.0,0.0,-250259.18105853154,0.0,0.0,0.0,19.270277500000002,77455.55108972223,0.0,9143.142855578732,25429.390943255985,100.0,100.0,0.0,0.0,0.0,25429.390943255985,0.0,77436.28081222216
3,T_bldg1_003,bau,15.0,T,0.0,0.0,0.0,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,1312.5143791683183,0.0,1312.5143791683183,0.0,0.0,0.0,-295147.6575333143,0.0,0.0,0.0,19.270277500000002,77455.55108972223,0.0,9143.142855578732,25429.390943255985,100.0,100.0,0.0,0.0,0.0,25429.390943255985,0.0,77436.28081222216
4,T_bldg1_004,bau,15.0,T,0.0,0.0,0.0,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,1312.5143791683183,0.0,1312.5143791683183,0.0,0.0,0.0,-328426.7259234865,0.0,0.0,0.0,19.270277500000002,77455.55108972223,0.0,9143.142855578732,25429.390943255985,100.0,100.0,0.0,0.0,0.0,25429.390943255985,0.0,77436.28081222216
5,T_bldg1_005,cp_only,15.0,T,0.0,0.0,7989.8602160821165,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,4.656612873077393e-12,5.101381960911605,765.9795753163459,0.0,8755.839791398463,0.0,0.0,0.0,-139665.7307482872,0.0,0.0,0.0,41712.30547212267,75711.81405438333,56.09356721985772,8378.210101170736,24882.85613940401,3.9700619298074877,3.9700619298076134,2.2269493572665433,2.226949357266463,0.0,32872.71635548612,0.0,77436.28081222216
6,T_bldg1_006,cp_only,15.0,T,0.0,0.0,4588.255304244561,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,765.9795753163459,0.0,5354.234879560906,0.0,0.0,0.0,-219863.87446510233,0.0,0.0,0.0,41712.30547212267,75711.81405438333,56.09356721985772,8378.210101170736,24882.85613940401,3.9700619298074877,3.9700619298076134,2.2269493572665433,2.226949357266463,0.0,29471.11144364857,0.0,77436.28081222216
7,T_bldg1_007,cp_only,15.0,T,0.0,0.0,4795.300811068192,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,765.9795753163459,0.0,5561.280386384538,0.0,0.0,0.0,-292072.71500623506,0.0,0.0,0.0,41712.30547212267,75711.81405438333,56.09356721985772,8378.210101170736,24882.85613940401,3.9700619298074877,3.9700619298076134,2.2269493572665433,2.226949357266463,0.0,29678.156950472203,0.0,77436.28081222216
8,T_bldg1_008,cp_only,15.0,T,0.0,0.0,4071.1911329080644,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,765.9795753163459,0.0,4837.17070822441,0.0,0.0,0.0,-336056.77963742724,0.0,0.0,0.0,41712.30547212267,75711.81405438333,56.09356721985772,8378.210101170736,24882.85613940401,3.9700619298074877,3.9700619298076134,2.2269493572665433,2.226949357266463,0.0,28954.047272312073,0.0,77436.28081222216
9,T_bldg1_009,cp_only,15.0,T,0.0,0.0,4659.845456103835,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,4.656612873077393e-12,5.101381960911605,765.9795753163459,0.0,5425.825031420181,0.0,0.0,0.0,-381551.12647400604,0.0,0.0,0.0,41712.30547212267,75711.81405438333,56.09356721985772,8378.210101170736,24882.85613940401,3.9700619298074877,3.9700619298076134,2.2269493572665433,2.226949357266463,0.0,29542.701595507842,0.0,77436.28081222216
