scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean,pv_filename,load_folder_y,arrangement_y,pv_cap_id,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate,pv_name,kwp,kwp_unit,npv_unit,bau_npv,npv_u_cf_bau,average_hh_bill_saving,average_hh_total_saving,bau_scenario,annual_generation,emissions_avoided_kg,carbon_offset_$,annual_carbon_offset_$_unit,total_carbon_offset_$_unit,npv_u_cf_bau_pa,total_npv_cf_bau_pa,site_tag,system_tag
0,T_bldg1_000,bau,15.0,T,0.0,0.0,0.0,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,1312.5143791683186,0.0,1312.5143791683186,0.0,0.0,0.0,-108041.40522390981,0.0,0.0,0.0,19.2702775,77455.55108972223,0.0,9143.142855578732,25429.390943255985,100.0,100.0,0.0,0.0,0.0,25429.390943255985,0.0,77436.28081222216,zero,T,bau,,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA302,,5.0,0.06,,0.0,0.0,-7202.760348260654,-7202.760348260654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a15_cp5,a15_cp5_pv000
1,T_bldg1_001,bau,15.0,T,0.0,0.0,0.0,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,1312.5143791683186,0.0,1312.5143791683186,0.0,0.0,0.0,-189711.35271781488,0.0,0.0,0.0,19.2702775,77455.55108972223,0.0,9143.142855578732,25429.390943255985,100.0,100.0,0.0,0.0,0.0,25429.390943255985,0.0,77436.28081222216,zero,T,bau,,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA302,,10.0,0.06,,0.0,0.0,-12647.423514520991,-12647.423514520991,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a15_cp5,a15_cp5_pv000
2,T_bldg1_002,bau,15.0,T,0.0,0.0,0.0,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,1312.5143791683186,0.0,1312.5143791683186,0.0,0.0,0.0,-250259.18105853157,0.0,0.0,0.0,19.2702775,77455.55108972223,0.0,9143.142855578732,25429.390943255985,100.0,100.0,0.0,0.0,0.0,25429.390943255985,0.0,77436.28081222216,zero,T,bau,,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA302,,15.0,0.06,,0.0,0.0,-16683.945403902104,-16683.945403902104,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a15_cp5,a15_cp5_pv000
3,T_bldg1_003,bau,15.0,T,0.0,0.0,0.0,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,1312.5143791683186,0.0,1312.5143791683186,0.0,0.0,0.0,-295147.6575333143,0.0,0.0,0.0,19.2702775,77455.55108972223,0.0,9143.142855578732,25429.390943255985,100.0,100.0,0.0,0.0,0.0,25429.390943255985,0.0,77436.28081222216,zero,T,bau,,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA302,,20.0,0.06,,0.0,0.0,-19676.510502220954,-19676.510502220954,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a15_cp5,a15_cp5_pv000
4,T_bldg1_004,bau,15.0,T,0.0,0.0,0.0,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,1312.5143791683186,0.0,1312.5143791683186,0.0,0.0,0.0,-328426.72592348646,0.0,0.0,0.0,19.2702775,77455.55108972223,0.0,9143.142855578732,25429.390943255985,100.0,100.0,0.0,0.0,0.0,25429.390943255985,0.0,77436.28081222216,zero,T,bau,,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA302,,25.0,0.06,,0.0,0.0,-21895.115061565764,-21895.115061565764,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a15_cp5,a15_cp5_pv000
5,T_bldg1_005,cp_only,15.0,T,0.0,0.0,7989.860216082116,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,4.6566128730773935e-12,5.101381960911605,765.9795753163459,0.0,8755.839791398463,0.0,0.0,0.0,-139665.7307482872,0.0,0.0,0.0,41712.30547212267,75711.81405438331,56.09356721985772,8378.210101170736,24882.856139404008,3.970061929807488,3.970061929807613,2.2269493572665437,2.226949357266463,0.0,32872.71635548612,0.0,77436.28081222216,T_max_pv.csv,T,cp_only,T_max_pv,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA302,,5.0,0.06,T_max_pv,30.75,2.05,-9311.04871655248,-7202.760348260654,-2108.2883682918255,0.0,0.0,0.0,43436.772229961585,33663.49847822022,2677.2580339728543,178.48386893152363,892.4193446576181,-421.65767365836507,-6324.865104875476,a15_cp5,a15_cp5_pv030
6,T_bldg1_006,cp_only,15.0,T,0.0,0.0,4588.255304244562,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,765.9795753163459,0.0,5354.234879560906,0.0,0.0,0.0,-219863.87446510233,0.0,0.0,0.0,41712.30547212267,75711.81405438331,56.09356721985772,8378.210101170736,24882.856139404008,3.970061929807488,3.970061929807613,2.2269493572665437,2.226949357266463,0.0,29471.11144364857,0.0,77436.28081222216,T_max_pv.csv,T,cp_only,T_max_pv,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA302,,10.0,0.06,T_max_pv,30.75,2.05,-14657.591631006822,-12647.423514520991,-2010.168116485831,0.0,0.0,1.0,43436.772229961585,33663.49847822022,2677.2580339728543,178.48386893152363,1784.8386893152363,-201.0168116485831,-3015.2521747287465,a15_cp5,a15_cp5_pv030
7,T_bldg1_007,cp_only,15.0,T,0.0,0.0,4795.300811068192,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,765.9795753163459,0.0,5561.280386384538,0.0,0.0,0.0,-292072.71500623506,0.0,0.0,0.0,41712.30547212267,75711.81405438331,56.09356721985772,8378.210101170736,24882.856139404008,3.970061929807488,3.970061929807613,2.2269493572665437,2.226949357266463,0.0,29678.156950472203,0.0,77436.28081222216,T_max_pv.csv,T,cp_only,T_max_pv,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA302,,15.0,0.06,T_max_pv,30.75,2.05,-19471.514333749004,-16683.945403902104,-2787.5689298469006,0.0,0.0,2.0,43436.772229961585,33663.49847822022,2677.2580339728543,178.48386893152363,2677.2580339728543,-185.83792865646004,-2787.5689298469006,a15_cp5,a15_cp5_pv030
8,T_bldg1_008,cp_only,15.0,T,0.0,0.0,4071.191132908064,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,0.0,5.101381960911605,765.9795753163459,0.0,4837.17070822441,0.0,0.0,0.0,-336056.77963742724,0.0,0.0,0.0,41712.30547212267,75711.81405438331,56.09356721985772,8378.210101170736,24882.856139404008,3.970061929807488,3.970061929807613,2.2269493572665437,2.226949357266463,0.0,28954.047272312077,0.0,77436.28081222216,T_max_pv.csv,T,cp_only,T_max_pv,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA302,,20.0,0.06,T_max_pv,30.75,2.05,-22403.785309161816,-19676.510502220954,-2727.2748069408626,0.0,0.0,3.0,43436.772229961585,33663.49847822022,2677.2580339728543,178.48386893152363,3569.6773786304725,-136.36374034704312,-2045.4561052056467,a15_cp5,a15_cp5_pv030
9,T_bldg1_009,cp_only,15.0,T,0.0,0.0,4659.845456103835,1607.7917709391782,0.0,1607.7917709391782,0.0,0.0,0.0,4.6566128730773935e-12,5.101381960911605,765.9795753163459,0.0,5425.825031420181,0.0,0.0,0.0,-381551.1264740061,0.0,0.0,0.0,41712.30547212267,75711.81405438331,56.09356721985772,8378.210101170736,24882.856139404008,3.970061929807488,3.970061929807613,2.2269493572665437,2.226949357266463,0.0,29542.701595507842,0.0,77436.28081222216,T_max_pv.csv,T,cp_only,T_max_pv,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA302,,25.0,0.06,T_max_pv,30.75,2.05,-25436.74176493374,-21895.115061565764,-3541.626703367976,0.0,0.0,4.0,43436.772229961585,33663.49847822022,2677.2580339728543,178.48386893152363,4462.096723288091,-141.66506813471904,-2124.9760220207854,a15_cp5,a15_cp5_pv030
