scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean
0,W_bldg2_000,bau,72.0,W,0.0,0.0,0.0,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,22275.003330946347,0.0,22275.003330946347,0.0,0.0,0.0,-563431.7718849649,0.0,0.0,0.0,211.8577508333334,408734.6720274998,0.0,37209.1446959282,132613.29549926516,100.0,100.0,0.0,0.0,0.0,132613.29549926516,0.0,408522.8142766657
1,W_bldg2_001,bau,72.0,W,0.0,0.0,0.0,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,22275.003330946347,0.0,22275.003330946347,0.0,0.0,0.0,-989337.4062191221,0.0,0.0,0.0,211.8577508333334,408734.6720274998,0.0,37209.1446959282,132613.29549926516,100.0,100.0,0.0,0.0,0.0,132613.29549926516,0.0,408522.8142766657
2,W_bldg2_002,bau,72.0,W,0.0,0.0,0.0,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,22275.003330946347,0.0,22275.003330946347,0.0,0.0,0.0,-1305092.0017382773,0.0,0.0,0.0,211.8577508333334,408734.6720274998,0.0,37209.1446959282,132613.29549926516,100.0,100.0,0.0,0.0,0.0,132613.29549926516,0.0,408522.8142766657
3,W_bldg2_003,bau,72.0,W,0.0,0.0,0.0,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,22275.003330946347,0.0,22275.003330946347,0.0,0.0,0.0,-1539183.6796925575,0.0,0.0,0.0,211.8577508333334,408734.6720274998,0.0,37209.1446959282,132613.29549926516,100.0,100.0,0.0,0.0,0.0,132613.29549926516,0.0,408522.8142766657
4,W_bldg2_004,bau,72.0,W,0.0,0.0,0.0,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,22275.003330946347,0.0,22275.003330946347,0.0,0.0,0.0,-1712732.7411000472,0.0,0.0,0.0,211.8577508333334,408734.6720274998,0.0,37209.1446959282,132613.29549926516,100.0,100.0,0.0,0.0,0.0,132613.29549926516,0.0,408522.8142766657
5,W_bldg2_005,cp_only,72.0,W,0.0,0.0,7794.985576665478,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,13404.067822421184,0.0,21199.05339908666,0.0,0.0,0.0,-558860.4023681693,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,123742.35999074,65.75060608234044,65.75060608234028,7.1181006194578424,7.1181006194576355,0.0,131537.3455674055,0.0,408522.8142766657
6,W_bldg2_006,cp_only,72.0,W,0.0,0.0,4476.346638287376,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,13404.067822421184,0.0,17880.41446070856,0.0,0.0,0.0,-956552.3740855638,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,123742.35999074,65.75060608234044,65.75060608234028,7.1181006194578424,7.1181006194576355,0.0,128218.7066290274,0.0,408522.8142766657
7,W_bldg2_007,cp_only,72.0,W,0.0,0.0,4678.342254700676,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,13404.067822421184,0.0,18082.41007712186,0.0,0.0,0.0,-1263831.2827318748,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,123742.35999074,65.75060608234044,65.75060608234028,7.1181006194578424,7.1181006194576355,0.0,128420.70224544068,0.0,408522.8142766657
8,W_bldg2_008,cp_only,72.0,W,0.0,0.0,3971.8937882029904,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,-1.862645149230957e-11,21.55713016986636,13404.067822421184,0.0,17375.961610624174,0.0,0.0,0.0,-1482322.676173535,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,123742.35999074,65.75060608234044,65.75060608234028,7.1181006194578424,7.1181006194576355,0.0,127714.253778943,0.0,408522.8142766657
9,W_bldg2_009,cp_only,72.0,W,0.0,0.0,4546.19068888179,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,13404.067822421184,0.0,17950.258511302975,0.0,0.0,0.0,-1656877.6172105498,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,123742.35999074,65.75060608234044,65.75060608234028,7.1181006194578424,7.1181006194576355,0.0,128288.55067962181,0.0,408522.8142766657
