scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean,pv_filename,load_folder_y,arrangement_y,pv_cap_id,pv_capex_scaleable,cp,all_residents,parent,network_tariff,en_capex_id,a_term,a_rate,pv_scaleable,pv_kW_peak,pv_name,kwp,kwp_unit,npv_unit,bau_npv,npv_u_cf_bau,average_hh_bill_saving,average_hh_total_saving,bau_scenario,annual_generation,emissions_avoided_kg,carbon_offset_$,annual_carbon_offset_$_unit,total_carbon_offset_$_unit,npv_u_cf_bau_pa,total_npv_cf_bau_pa,site_tag,system_tag
0,W_bldg2en_000,bau,72.0,W,0.0,0.0,0.0,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,22275.003330946347,0.0,22275.003330946347,0.0,0.0,0.0,-563431.7718849649,0.0,0.0,0.0,211.8577508333334,408734.67202749976,0.0,37209.1446959282,132613.29549926516,100.0,100.0,0.0,0.0,0.0,132613.29549926516,0.0,408522.8142766657,zero,W,bau,,False,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA305,,5,0.06,,,,0.0,0.0,-7825.441276180068,-7825.441276180068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a72_cp22,a72_cp22_pv000
1,W_bldg2en_001,bau,72.0,W,0.0,0.0,0.0,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,22275.003330946347,0.0,22275.003330946347,0.0,0.0,0.0,-989337.406219122,0.0,0.0,0.0,211.8577508333334,408734.67202749976,0.0,37209.1446959282,132613.29549926516,100.0,100.0,0.0,0.0,0.0,132613.29549926516,0.0,408522.8142766657,zero,W,bau,,False,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA305,,10,0.06,,,,0.0,0.0,-13740.797308598916,-13740.797308598916,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a72_cp22,a72_cp22_pv000
2,W_bldg2en_002,bau,72.0,W,0.0,0.0,0.0,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,22275.003330946347,0.0,22275.003330946347,0.0,0.0,0.0,-1305092.0017382773,0.0,0.0,0.0,211.8577508333334,408734.67202749976,0.0,37209.1446959282,132613.29549926516,100.0,100.0,0.0,0.0,0.0,132613.29549926516,0.0,408522.8142766657,zero,W,bau,,False,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA305,,15,0.06,,,,0.0,0.0,-18126.277801920518,-18126.277801920518,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a72_cp22,a72_cp22_pv000
3,W_bldg2en_003,bau,72.0,W,0.0,0.0,0.0,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,22275.003330946347,0.0,22275.003330946347,0.0,0.0,0.0,-1539183.6796925575,0.0,0.0,0.0,211.8577508333334,408734.67202749976,0.0,37209.1446959282,132613.29549926516,100.0,100.0,0.0,0.0,0.0,132613.29549926516,0.0,408522.8142766657,zero,W,bau,,False,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA305,,20,0.06,,,,0.0,0.0,-21377.551106841078,-21377.551106841078,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a72_cp22,a72_cp22_pv000
4,W_bldg2en_004,bau,72.0,W,0.0,0.0,0.0,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,22275.003330946347,0.0,22275.003330946347,0.0,0.0,0.0,-1712732.7411000472,0.0,0.0,0.0,211.8577508333334,408734.67202749976,0.0,37209.1446959282,132613.29549926516,100.0,100.0,0.0,0.0,0.0,132613.29549926516,0.0,408522.8142766657,zero,W,bau,,False,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA305,,25,0.06,,,,0.0,0.0,-23787.954737500655,-23787.954737500655,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a72_cp22,a72_cp22_pv000
5,W_bldg2en_005,cp_only,72.0,W,0.0,0.0,7794.985576665478,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,13404.067822421184,0.0,21199.05339908666,0.0,0.0,0.0,-558860.4023681693,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,123742.35999074,65.75060608234044,65.75060608234028,7.118100619457842,7.118100619457636,0.0,131537.34556740551,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp30,False,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA305,,5,0.06,True,30.0,W_max_yield_scale,30.0,0.4166666666666667,-7761.95003289124,-7825.441276180068,63.49124328882772,0.0,0.0,0.0,44226.3071115083,34275.38801141893,2725.9216085481476,37.86002234094649,189.30011170473247,12.698248657765543,914.2739033591191,a72_cp22,a72_cp22_pv030
6,W_bldg2en_006,cp_only,72.0,W,0.0,0.0,4476.346638287376,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,13404.067822421184,0.0,17880.41446070856,0.0,0.0,0.0,-956552.3740855637,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,123742.35999074,65.75060608234044,65.75060608234028,7.118100619457842,7.118100619457636,0.0,128218.70662902741,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp30,False,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA305,,10,0.06,True,30.0,W_max_yield_scale,30.0,0.4166666666666667,-13285.449640077273,-13740.797308598916,455.34766852164285,0.0,0.0,1.0,44226.3071115083,34275.38801141893,2725.9216085481476,37.86002234094649,378.60022340946495,45.53476685216428,3278.5032133558284,a72_cp22,a72_cp22_pv030
7,W_bldg2en_007,cp_only,72.0,W,0.0,0.0,4678.342254700677,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,13404.067822421184,0.0,18082.410077121862,0.0,0.0,0.0,-1263831.2827318748,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,123742.35999074,65.75060608234044,65.75060608234028,7.118100619457842,7.118100619457636,0.0,128420.70224544068,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp30,False,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA305,,15,0.06,True,30.0,W_max_yield_scale,30.0,0.4166666666666667,-17553.212260164928,-18126.277801920518,573.06554175559,0.0,0.0,2.0,44226.3071115083,34275.38801141893,2725.9216085481476,37.86002234094649,567.9003351141974,38.20436945037266,2750.7146004268316,a72_cp22,a72_cp22_pv030
8,W_bldg2en_008,cp_only,72.0,W,0.0,0.0,3971.893788202991,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,-1.862645149230957e-11,21.55713016986636,13404.067822421184,0.0,17375.961610624174,0.0,0.0,0.0,-1482322.676173535,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,123742.35999074,65.75060608234044,65.75060608234028,7.118100619457842,7.118100619457636,0.0,127714.253778943,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp30,False,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA305,,20,0.06,True,30.0,W_max_yield_scale,30.0,0.4166666666666667,-20587.81494685465,-21377.551106841078,789.7361599864271,0.0,0.0,3.0,44226.3071115083,34275.38801141893,2725.9216085481476,37.86002234094649,757.2004468189299,39.48680799932136,2843.0501759511376,a72_cp22,a72_cp22_pv030
9,W_bldg2en_009,cp_only,72.0,W,0.0,0.0,4546.190688881789,1532.4762801155405,0.0,1532.4762801155405,0.0,0.0,0.0,0.0,21.55713016986636,13404.067822421184,0.0,17950.258511302975,0.0,0.0,0.0,-1656877.6172105498,0.0,0.0,0.0,15147.242137854431,379443.74930301256,10.825908753667974,35956.221872410875,123742.35999074,65.75060608234044,65.75060608234028,7.118100619457842,7.118100619457636,0.0,128288.5506796218,0.0,408522.8142766657,W_max_yield_scale.csv,W,cp_only,W_cp30,False,EASO_TOU_15pc,EASO_TOU_15pc,TIDNULL,EA305,,25,0.06,True,30.0,W_max_yield_scale,30.0,0.4166666666666667,-23012.189127924303,-23787.954737500655,775.7656095763523,0.0,0.0,4.0,44226.3071115083,34275.38801141893,2725.9216085481476,37.86002234094649,946.5005585236623,31.030624383054093,2234.204955579895,a72_cp22,a72_cp22_pv030
