,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 04:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 04:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 05:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 05:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 06:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 06:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 07:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 07:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 08:00:00,0,0,0,0.02418375420000038,0,0.0,0,0.30300039120000033,0.0,0,0
2017-02-26 08:30:00,0,0,0,1.1755602104,0,0.0,0,1.5140249543999995,0.0,0,0
2017-02-26 09:00:00,0,0,0,2.1586571926000007,0,0.0,0,2.532066478600001,0.0,0,0
2017-02-26 09:30:00,0,0,0,3.264656079624999,0,0.7224876317499995,0,3.6873036396249996,0.0,0,0
2017-02-26 10:00:00,0,0,0,3.169630050329583,0,0.45611437513083275,0,3.5953687568295827,0.0,0,0
2017-02-26 10:30:00,0,0,0,4.166903187333295,0,1.0333482849333078,0,4.609879290333295,0.0,0,0
2017-02-26 11:00:00,0,0,0,4.0127743083333325,0,0.706354348333333,0,4.5181876958333325,0.0,0,0
2017-02-26 11:30:00,0,0,0,3.8064550036666667,0,0.5423946564666666,0,4.284498800166667,0.0,0,0
2017-02-26 12:00:00,0,0,0,3.1207053590000013,0,0.3155757286000007,0,4.066633434500001,0.0,0,0
2017-02-26 12:30:00,0,0,0,2.6735446913333316,0,0.4530866465333325,0,3.9649453223333317,0.0,0,0
2017-02-26 13:00:00,0,0,0,2.546785250666666,0,0.4605360602666657,0,3.8547918386666655,0.0,0,0
2017-02-26 13:30:00,0,0,0,2.9750687020000006,0,0.8884476108000006,0,4.238794741000001,0.0,0,0
2017-02-26 14:00:00,0,0,0,2.2265792843333347,0,0.44579577873333376,0,3.459148503833334,0.0,0,0
2017-02-26 14:30:00,0,0,0,1.4656778980999992,0,0.0,0,2.6555981515999987,0.0,0,0
2017-02-26 15:00:00,0,0,0,0.0,0,0.0,0,0.8940836176000007,0.0,0,0
2017-02-26 15:30:00,0,0,0,0.0,0,0.0,0,0.630541200599998,0.0,0,0
2017-02-26 16:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 16:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 17:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 17:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 18:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 18:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 19:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 19:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 20:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 20:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 21:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 21:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 22:00:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
2017-02-26 22:30:00,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0
