,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2017-02-26 04:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2017-02-26 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2017-02-26 05:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2017-02-26 06:00:00,0.0023374605555555555,0.002337460555555555,0.0023374605555555555,0.0,0.0023374605555555555,0.002337460555555555,0.002337460555555555,0.0023374605555555555,0,0.002337460555555555,0.002337460555555555
2017-02-26 06:30:00,0.155,0.035,0.1890275461857143,0.0,0.1890275461857143,0.0,0.037000000000000005,0.0,0,0.038,0.07400000000000001
2017-02-26 07:00:00,0.158,0.013000000000000001,0.7054312622999999,0.0,0.7054312622999999,0.0,0.0,0.0,0,0.040999999999999995,0.11900000000000001
2017-02-26 07:30:00,0.165,0.047,1.0989675087166664,0.0,0.71,0.0,0.0,0.0,0,0.035,0.098
2017-02-26 08:00:00,0.165,0.028999999999999998,1.5290306909,0.0,0.711,0.0,0.0,0.0,0,0.187,0.102
2017-02-26 08:30:00,0.17,0.019,1.7940991941333329,0.0,0.71,0.0,0.0,0.0,0,0.043,0.073
2017-02-26 09:00:00,0.165,0.048,2.2759539618666667,0.0,0.708,0.0,0.0,0.0,0,0.036000000000000004,0.08800000000000001
2017-02-26 09:30:00,0.16,0.022000000000000002,2.4815745586666664,0.0,0.546,0.0,0.0,0.0,0,0.036000000000000004,0.079
2017-02-26 10:00:00,0.158,0.028999999999999998,2.69035219705,0.0,1.202,0.0,0.0,0.0,0,0.039,0.081
2017-02-26 10:30:00,0.165,0.05,3.094188460433333,0.0,1.01,0.0,0.0,0.0,0,0.040999999999999995,0.109
2017-02-26 11:00:00,0.17,0.064,3.321886058750001,0.0,0.9990000000000001,0.0,0.0,0.0,0,0.035,0.106
2017-02-26 11:30:00,0.168,0.07200000000000001,3.22039141005,0.0,0.995,0.0,0.0,0.0,0,0.038,0.11599999999999999
2017-02-26 12:00:00,0.17300000000000001,0.066,3.158985753683334,0.0,0.9740000000000001,0.0,0.0,0.0,0,0.043,0.075
2017-02-26 12:30:00,0.163,0.013000000000000001,2.9177627766999996,0.0,0.9740000000000001,0.0,0.0,0.0,0,0.035,0.09
2017-02-26 13:00:00,0.43,0.062,2.7218521915999996,0.0,0.9890000000000001,0.0,0.0,0.0,0,0.038,0.07
2017-02-26 13:30:00,0.163,0.02,2.743218508966667,0.0,1.0070000000000001,0.0,0.0,0.0,0,0.043,0.092
2017-02-26 14:00:00,0.17300000000000001,0.044000000000000004,2.423253927816667,0.0,1.05,0.0,0.0,0.0,0,0.036000000000000004,0.085
2017-02-26 14:30:00,0.175,0.038,2.0392126749499995,0.0,0.978,0.0,0.0,0.0,0,0.038,0.125
2017-02-26 15:00:00,0.17300000000000001,0.026000000000000002,1.623680602933333,0.0,0.983,0.0,0.0,0.0,0,0.043,0.10300000000000001
2017-02-26 15:30:00,0.165,0.055,1.458423533433333,0.0,0.9840000000000001,0.0,0.0,0.0,0,0.036000000000000004,0.10800000000000001
2017-02-26 16:00:00,0.163,0.013999999999999999,1.4123980858833332,0.0,0.987,0.0,0.0,0.0,0,0.038,0.077
2017-02-26 16:30:00,0.163,0.055,1.228719495116667,0.0,1.004,0.0,0.0,0.0,0,0.043,0.083
2017-02-26 17:00:00,0.168,0.027000000000000003,0.8483819132333332,0.0,0.8483819132333332,0.0,0.0,0.0,0,0.036000000000000004,0.08199999999999999
2017-02-26 17:30:00,0.175,0.035,0.3622391367142857,0.0,0.36223913671428565,0.0,0.013999999999999999,0.0,0,0.038,0.078
2017-02-26 18:00:00,0.04632083957142859,0.046320839571428594,0.04632083957142858,0.0,0.04632083957142858,0.0,0.032,0.0,0,0.043,0.04632083957142859
2017-02-26 18:30:00,0.00038897280000000007,0.00038897280000000007,0.0003889728,0.00038897280000000007,0.00038897280000000007,0.0003889728000000001,0.00038897280000000007,0.00038897280000000007,0,0.00038897280000000007,0.00038897280000000007
2017-02-26 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2017-02-26 19:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2017-02-26 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2017-02-26 20:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2017-02-26 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2017-02-26 21:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2017-02-26 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
2017-02-26 22:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
