,participant_1,participant_2,participant_3,participant_4,participant_5,participant_6,participant_7,participant_8,participant_9,participant_10,participant_11
2017-02-26 04:00:00,0.006461094,0.000654288,0.302281056,0.003884835,0.027848132999999997,0.008383064999999999,0.005397876,0.010427715,0.0,0.003933405,0.011350682999999999
2017-02-26 04:30:00,0.006870024000000001,0.0014312550000000002,0.28461527999999997,0.0024944729999999997,0.029156709,0.01267683,0.006256629,0.006501987,0.0,0.010564002,0.010002087000000002
2017-02-26 05:00:00,0.006870024000000001,0.001758399,0.257298756,0.003721263,0.027970812,0.008914674,0.005602340999999999,0.021959541,0.0,0.028432899,0.008653491
2017-02-26 05:30:00,0.00695181,0.000449823,0.29361173999999995,0.002658045,0.027929918999999997,0.011163789,0.006501987,0.012431471999999999,0.0,0.014272640999999999,0.009103023
2017-02-26 06:00:00,0.017611083225501666,0.0016628132255016666,0.23626595422550167,0.0,0.028693086225501672,0.0059326773302196675,0.005016039225501667,0.05115529880521416,0.0,0.0036707141703850006,0.008952715170384998
2017-02-26 06:30:00,0.0,0.0,0.26298175655382755,0.0,0.021222340553827584,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 07:00:00,0.0,0.0,0.2186372353907661,0.0,6.415039076610864e-05,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 07:30:00,0.0,0.0,0.18651430166604938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 08:00:00,0.0,0.0,0.2503865839570263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 08:30:00,0.0,0.0,0.2153384816543056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 09:00:00,0.0,0.0,0.2308019746373864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 09:30:00,0.0,0.0,0.15909116757244404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-26 10:00:00,0.0,0.0,0.19308234360603438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
